orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
17,2025-08-14 21:49:53,2025-08-20 21:49:53,2025-08-16 21:49:53,378.32,天开传媒有限公司网络安全,香港特别行政区澳门市清浦许路G座 380354,芳市,云南省,252621,中国,天开传媒有限公司网络安全,王,雪,顺丰速运,Order
18,2026-04-13 13:29:59,2026-04-26 13:29:59,2026-04-15 13:29:59,287.47,开发区世创科技有限公司科技公司,浙江省香港县翔安潮州街E座 459811,嘉禾市,黑龙江省,948902,中国,开发区世创科技有限公司科技公司,李,玉珍,圆通速递,Order
19,2025-12-29 11:17:00,2026-01-11 11:17:00,2026-01-01 11:17:00,460.59,晖来计算机网络有限公司虚拟现实,湖北省银川县长寿佛山街w座 577399,梅县,新疆维吾尔自治区,509148,中国,晖来计算机网络有限公司虚拟现实,欧,娜,顺丰速运,Order
20,2025-01-05 19:14:56,2025-01-19 19:14:56,2025-01-08 19:14:56,90.81,恩悌传媒有限公司虚拟现实,广西壮族自治区哈尔滨县房山辛集路N座 896046,南昌县,甘肃省,203154,中国,恩悌传媒有限公司虚拟现实,曲,桂花,圆通速递,Order
21,2026-03-08 21:45:52,2026-03-14 21:45:52,2026-03-13 21:45:52,146.21,兰金电子科技有限公司区块链技术,吉林省齐齐哈尔县沈河深圳街p座 109059,南昌市,台湾省,701156,中国,兰金电子科技有限公司区块链技术,陈,杨,百世快递,Order
22,2024-07-22 07:27:10,2024-07-29 07:27:10,2024-07-26 07:27:10,364.35,巨奥科技有限公司信息技术,辽宁省兵县门头沟黄路R座 339119,峰县,河南省,970735,中国,巨奥科技有限公司信息技术,徐,艳,顺丰速运,Order
23,2024-12-11 17:37:39,2024-12-22 17:37:39,2024-12-15 17:37:39,100.12,时空盒数字传媒有限公司大数据分析,湖北省梧州县锡山周路M座 618236,巢湖市,贵州省,903078,中国,时空盒数字传媒有限公司大数据分析,张,帅,中通快递,Order
24,2026-03-16 08:36:59,2026-03-30 08:36:59,2026-03-19 08:36:59,190.58,明腾传媒有限公司金融科技,天津市阜新县城东吴街m座 830793,齐齐哈尔县,香港特别行政区,636849,中国,明腾传媒有限公司金融科技,王,建平,韵达快递,Order
25,2024-08-29 08:49:54,2024-09-11 08:49:54,2024-09-02 08:49:54,496.0,南康传媒有限公司生物科技,广西壮族自治区汕尾县兴山王街m座 315775,贵阳市,吉林省,458093,中国,南康传媒有限公司生物科技,徐,艳,京东物流,Order
26,2026-03-04 05:13:59,2026-03-11 05:13:59,,294.64,鑫博腾飞信息有限公司智能科技,安徽省杭州县新城潮州路U座 487852,兴安盟市,青海省,721718,中国,鑫博腾飞信息有限公司智能科技,张,丹丹,京东物流,Order
27,2024-06-16 11:25:18,2024-06-21 11:25:18,2024-06-20 11:25:18,14.25,易动力网络有限公司信息技术,山西省广州县淄川王路j座 894925,英县,山东省,228414,中国,易动力网络有限公司信息技术,林,峰,百世快递,Order
28,2026-04-30 14:43:24,2026-05-07 14:43:24,2026-05-01 14:43:24,71.23,易动力信息有限公司网络安全,青海省宜都县合川朱路g座 383744,斌县,江西省,652523,中国,易动力信息有限公司网络安全,曹,洁,圆通速递,Order
29,2026-01-02 04:42:30,2026-01-10 04:42:30,2026-01-03 04:42:30,251.93,襄樊地球村网络有限公司智能科技,安徽省畅县房山郑路w座 157129,坤县,内蒙古自治区,951957,中国,襄樊地球村网络有限公司智能科技,张,丹丹,中通快递,Order
30,2026-03-10 18:48:32,2026-03-17 18:48:32,2026-03-14 18:48:32,303.8,海创网络有限公司生物科技,香港特别行政区雷市翔安赵街a座 431269,汕尾县,北京市,156019,中国,海创网络有限公司生物科技,薛,洋,中通快递,Order
31,2025-02-01 04:11:41,2025-02-14 04:11:41,,187.15,时空盒数字信息有限公司虚拟现实,湖南省杭州市清河柳州路s座 365953,荣市,海南省,934862,中国,时空盒数字信息有限公司虚拟现实,陈,杨,京东物流,Order
32,2025-03-16 03:13:12,2025-03-27 03:13:12,2025-03-19 03:13:12,152.07,新宇龙信息传媒有限公司人工智能,澳门特别行政区合山县门头沟赵路X座 921614,张家港市,香港特别行政区,309847,中国,新宇龙信息传媒有限公司人工智能,林,峰,圆通速递,Order
33,2025-06-04 03:46:46,2025-06-10 03:46:46,,186.66,华泰通安科技有限公司网络安全,香港特别行政区桂兰市城东傅路b座 111143,玉梅市,台湾省,529077,中国,华泰通安科技有限公司网络安全,王,倩,顺丰速运,Order
34,2025-11-05 14:40:33,2025-11-15 14:40:33,2025-11-07 14:40:33,304.44,国讯网络有限公司移动应用开发,甘肃省芳市东丽游街c座 967469,文市,浙江省,216352,中国,国讯网络有限公司移动应用开发,张,丹丹,京东物流,Order
35,2025-01-18 13:43:29,2025-01-30 13:43:29,2025-01-21 13:43:29,113.3,和泰网络有限公司电子商务,山东省台北市南湖刘路G座 282213,玲市,江苏省,453351,中国,和泰网络有限公司电子商务,曲,桂花,申通快递,Order
36,2025-02-01 04:43:37,2025-02-10 04:43:37,,339.21,襄樊地球村信息有限公司物联网,云南省婷婷县高明王路e座 823469,丽娟市,四川省,603957,中国,襄樊地球村信息有限公司物联网,曹,洁,圆通速递,Order
37,2025-07-22 00:49:05,2025-07-28 00:49:05,2025-07-26 00:49:05,396.1,华泰通安科技有限公司网络安全,香港特别行政区桂兰市城东傅路b座 111143,玉梅市,台湾省,529077,中国,华泰通安科技有限公司网络安全,陈,杨,天天快递,Order
38,2024-09-28 01:09:52,2024-10-01 01:09:52,2024-10-02 01:09:52,24.88,济南亿次元网络有限公司科技公司,甘肃省红县白云巢湖路W座 992584,巢湖市,澳门特别行政区,219657,中国,济南亿次元网络有限公司科技公司,彭,桂荣,中通快递,Order
39,2025-07-06 10:06:58,2025-07-16 10:06:58,,64.6,浙大万朋信息有限公司生物科技,海南省巢湖市徐汇成都街E座 239900,鑫市,内蒙古自治区,548115,中国,浙大万朋信息有限公司生物科技,陈,杨,百世快递,Order
40,2024-11-30 18:57:53,2024-12-09 18:57:53,,104.38,易动力传媒有限公司生物科技,河南省贵阳县兴山广州路A座 729306,伟市,陕西省,802027,中国,易动力传媒有限公司生物科技,田,桂荣,申通快递,Order
41,2024-08-12 11:11:46,2024-08-21 11:11:46,,10.64,创亿网络有限公司移动应用开发,陕西省慧市西夏李街d座 273215,楠市,贵州省,437029,中国,创亿网络有限公司移动应用开发,王,雪,圆通速递,Order
42,2024-10-04 00:01:33,2024-10-13 00:01:33,2024-10-06 00:01:33,248.82,维涛科技有限公司网络安全,西藏自治区亮市清浦王街I座 399560,永安市,贵州省,583598,中国,维涛科技有限公司网络安全,赵,晨,中通快递,Order
43,2025-07-23 04:36:42,2025-07-30 04:36:42,2025-07-27 04:36:42,424.45,晖来计算机传媒有限公司云计算,广东省娟市孝南辽阳路I座 278094,郑州县,江苏省,370443,中国,晖来计算机传媒有限公司云计算,徐,艳,申通快递,Order
44,2024-06-26 12:48:02,2024-07-06 12:48:02,,186.21,飞海科技传媒有限公司信息技术,河北省楠县南湖胡街i座 304050,济南市,吉林省,373811,中国,飞海科技传媒有限公司信息技术,曲,桂花,天天快递,Order
45,2024-09-10 02:21:06,2024-09-14 02:21:06,2024-09-12 02:21:06,195.4,国讯网络有限公司移动应用开发,甘肃省芳市东丽游街c座 967469,文市,浙江省,216352,中国,国讯网络有限公司移动应用开发,江,凤兰,顺丰速运,Order
46,2024-12-13 00:50:18,2024-12-20 00:50:18,2024-12-17 00:50:18,238.17,九方传媒有限公司生物科技,江西省玉梅县城北韦路k座 920415,六盘水市,西藏自治区,774096,中国,九方传媒有限公司生物科技,曲,桂花,中通快递,Order
47,2025-06-24 00:04:02,2025-07-08 00:04:02,2025-06-27 00:04:02,174.41,盟新传媒有限公司大数据分析,甘肃省红县涪城董路q座 904897,辽阳县,安徽省,428336,中国,盟新传媒有限公司大数据分析,张,刚,百世快递,Order
48,2025-12-14 05:33:18,2025-12-26 05:33:18,2025-12-19 05:33:18,341.07,开发区世创科技有限公司科技公司,浙江省香港县翔安潮州街E座 459811,嘉禾市,黑龙江省,948902,中国,开发区世创科技有限公司科技公司,曹,洁,圆通速递,Order
49,2024-12-01 09:53:07,2024-12-07 09:53:07,2024-12-06 09:53:07,212.1,易动力传媒有限公司生物科技,河南省贵阳县兴山广州路A座 729306,伟市,陕西省,802027,中国,易动力传媒有限公司生物科技,张,丹丹,德邦物流,Order
50,2025-02-21 01:46:21,2025-02-28 01:46:21,,203.52,晖来计算机传媒有限公司云计算,广东省娟市孝南辽阳路I座 278094,郑州县,江苏省,370443,中国,晖来计算机传媒有限公司云计算,彭,桂荣,天天快递,Order
51,2025-11-02 01:38:26,2025-11-09 01:38:26,,423.55,迪摩科技有限公司电子商务,吉林省香港市白云沈街W座 138703,福州县,海南省,133740,中国,迪摩科技有限公司电子商务,曹,洁,韵达快递,Order
52,2026-05-17 20:14:29,2026-05-30 20:14:29,2026-05-22 20:14:29,129.88,群英信息有限公司金融科技,山东省丽县长寿邯郸路S座 956071,昆明县,河南省,785495,中国,群英信息有限公司金融科技,王,建平,中通快递,Order
53,2026-05-04 00:15:40,2026-05-12 00:15:40,,325.98,和泰网络有限公司电子商务,山东省台北市南湖刘路G座 282213,玲市,江苏省,453351,中国,和泰网络有限公司电子商务,曹,洁,邮政EMS,Order
54,2026-06-04 12:57:20,2026-06-11 12:57:20,,491.22,创联世纪信息有限公司移动应用开发,云南省深圳县金平拉萨街l座 585241,福州县,四川省,101164,中国,创联世纪信息有限公司移动应用开发,彭,桂荣,天天快递,Order
55,2025-11-05 10:20:57,2025-11-19 10:20:57,2025-11-10 10:20:57,490.03,合联电子科技有限公司网络安全,新疆维吾尔自治区波市牧野潜江街w座 187520,沈阳县,江苏省,734012,中国,合联电子科技有限公司网络安全,曲,桂花,顺丰速运,Order
56,2024-11-21 05:28:16,2024-11-30 05:28:16,2024-11-26 05:28:16,34.72,合联电子科技有限公司信息技术,辽宁省琴县高明北京街p座 129411,荣市,重庆市,992062,中国,合联电子科技有限公司信息技术,薛,洋,韵达快递,Order
57,2025-06-22 15:55:35,2025-06-29 15:55:35,2025-06-24 15:55:35,170.83,创联世纪信息有限公司移动应用开发,云南省深圳县金平拉萨街l座 585241,福州县,四川省,101164,中国,创联世纪信息有限公司移动应用开发,王,建平,邮政EMS,Order
58,2024-11-04 11:51:07,2024-11-17 11:51:07,2024-11-08 11:51:07,457.73,精芯传媒有限公司物联网,湖北省杭州市华龙宜都路G座 885926,武汉市,湖北省,378841,中国,精芯传媒有限公司物联网,田,桂荣,圆通速递,Order
59,2025-07-24 15:43:42,2025-07-30 15:43:42,2025-07-25 15:43:42,493.99,飞海科技传媒有限公司信息技术,河北省楠县南湖胡街i座 304050,济南市,吉林省,373811,中国,飞海科技传媒有限公司信息技术,薛,洋,邮政EMS,Order
60,2025-10-07 11:43:49,2025-10-19 11:43:49,2025-10-09 11:43:49,62.02,鸿睿思博传媒有限公司智能科技,浙江省柳州县安次李路G座 326030,武汉市,广西壮族自治区,986110,中国,鸿睿思博传媒有限公司智能科技,林,磊,百世快递,Order
61,2025-05-23 08:33:46,2025-06-03 08:33:46,2025-05-26 08:33:46,332.25,创联世纪信息有限公司移动应用开发,云南省深圳县金平拉萨街l座 585241,福州县,四川省,101164,中国,创联世纪信息有限公司移动应用开发,田,桂荣,邮政EMS,Order
62,2025-07-31 23:39:26,2025-08-13 23:39:26,2025-08-01 23:39:26,146.26,兰金电子科技有限公司区块链技术,吉林省齐齐哈尔县沈河深圳街p座 109059,南昌市,台湾省,701156,中国,兰金电子科技有限公司区块链技术,张,刚,百世快递,Order
63,2025-06-21 12:58:39,2025-07-03 12:58:39,2025-06-24 12:58:39,476.9,中建创业网络有限公司移动应用开发,江西省辛集县沈北新昆明街r座 719259,辽阳县,台湾省,639438,中国,中建创业网络有限公司移动应用开发,林,峰,圆通速递,Order
64,2025-06-08 00:36:21,2025-06-13 00:36:21,2025-06-09 00:36:21,87.83,商软冠联传媒有限公司大数据分析,湖北省强县新城古路N座 931706,玉珍县,澳门特别行政区,424628,中国,商软冠联传媒有限公司大数据分析,薛,洋,百世快递,Order
65,2025-07-11 11:05:03,2025-07-23 11:05:03,2025-07-15 11:05:03,294.42,创汇网络有限公司虚拟现实,北京市玉珍市朝阳赵路P座 508928,秀英市,福建省,862920,中国,创汇网络有限公司虚拟现实,王,雪,顺丰速运,Order
66,2025-09-01 23:51:49,2025-09-08 23:51:49,,205.94,银嘉信息有限公司移动应用开发,河南省洋县门头沟张家港路q座 708953,荆门市,江西省,960045,中国,银嘉信息有限公司移动应用开发,王,斌,德邦物流,Order
67,2025-07-18 06:14:30,2025-07-21 06:14:30,,481.34,易动力信息有限公司网络安全,青海省宜都县合川朱路g座 383744,斌县,江西省,652523,中国,易动力信息有限公司网络安全,张,帅,德邦物流,Order
68,2026-05-21 06:00:53,2026-06-02 06:00:53,2026-05-25 06:00:53,73.08,时空盒数字传媒有限公司大数据分析,湖北省梧州县锡山周路M座 618236,巢湖市,贵州省,903078,中国,时空盒数字传媒有限公司大数据分析,王,斌,中通快递,Order
69,2026-01-10 19:30:36,2026-01-24 19:30:36,2026-01-15 19:30:36,67.29,天开网络有限公司金融科技,广东省长沙市黄浦荆门街a座 399073,南宁市,台湾省,787111,中国,天开网络有限公司金融科技,徐,艳,德邦物流,Order
70,2026-02-14 14:49:09,2026-02-22 14:49:09,,299.54,商软冠联网络有限公司信息技术,福建省兴城县白云赵街c座 153695,梅市,海南省,737913,中国,商软冠联网络有限公司信息技术,徐,艳,天天快递,Order
71,2024-08-08 17:32:19,2024-08-13 17:32:19,2024-08-11 17:32:19,135.29,九方传媒有限公司生物科技,江西省玉梅县城北韦路k座 920415,六盘水市,西藏自治区,774096,中国,九方传媒有限公司生物科技,赵,晨,顺丰速运,Order
72,2024-09-30 10:30:11,2024-10-04 10:30:11,,39.47,富罳科技有限公司生物科技,青海省贵阳市友好范街A座 611700,想县,甘肃省,415348,中国,富罳科技有限公司生物科技,王,斌,中通快递,Order
73,2025-12-08 23:04:45,2025-12-22 23:04:45,,283.22,群英信息有限公司金融科技,山东省丽县长寿邯郸路S座 956071,昆明县,河南省,785495,中国,群英信息有限公司金融科技,李,玉珍,申通快递,Order
74,2025-08-31 01:17:04,2025-09-04 01:17:04,2025-09-02 01:17:04,431.24,戴硕电子科技有限公司移动应用开发,台湾省天津市清城郑州街K座 578950,瑜市,陕西省,996204,中国,戴硕电子科技有限公司移动应用开发,王,雪,顺丰速运,Order
75,2025-04-11 06:51:56,2025-04-22 06:51:56,2025-04-12 06:51:56,442.47,银嘉科技有限公司云计算,北京市强县牧野惠州路G座 671226,重庆县,云南省,471017,中国,银嘉科技有限公司云计算,李,玉珍,邮政EMS,Order
76,2025-02-16 07:29:09,2025-03-01 07:29:09,2025-02-18 07:29:09,458.31,维旺明信息有限公司人工智能,安徽省东莞市静安银川街g座 149650,坤县,山西省,734784,中国,维旺明信息有限公司人工智能,曹,洁,申通快递,Order
77,2026-05-15 12:20:50,2026-05-28 12:20:50,2026-05-18 12:20:50,365.21,时空盒数字信息有限公司虚拟现实,湖南省杭州市清河柳州路s座 365953,荣市,海南省,934862,中国,时空盒数字信息有限公司虚拟现实,李,玉珍,中通快递,Order
78,2024-11-02 03:17:23,2024-11-13 03:17:23,2024-11-05 03:17:23,392.69,MBP软件科技有限公司信息技术,安徽省瑞市西夏高路i座 571615,丽华县,宁夏回族自治区,300387,中国,MBP软件科技有限公司信息技术,赵,晨,韵达快递,Order
79,2025-09-01 10:09:27,2025-09-04 10:09:27,2025-09-04 10:09:27,371.68,维涛传媒有限公司云计算,内蒙古自治区上海市海陵武汉路o座 271535,秀华县,宁夏回族自治区,490120,中国,维涛传媒有限公司云计算,江,凤兰,邮政EMS,Order
80,2026-05-12 23:39:57,2026-05-16 23:39:57,2026-05-17 23:39:57,107.41,易动力信息有限公司物联网,陕西省关岭县高坪淮安街k座 604446,齐齐哈尔市,贵州省,989116,中国,易动力信息有限公司物联网,张,刚,天天快递,Order
81,2026-03-07 16:42:02,2026-03-15 16:42:02,2026-03-10 16:42:02,226.58,七喜传媒有限公司人工智能,澳门特别行政区磊市门头沟柳州街Z座 473892,丽华县,西藏自治区,358472,中国,七喜传媒有限公司人工智能,曲,桂花,韵达快递,Order
82,2026-04-20 07:21:01,2026-04-29 07:21:01,2026-04-22 07:21:01,145.9,戴硕电子科技有限公司移动应用开发,台湾省天津市清城郑州街K座 578950,瑜市,陕西省,996204,中国,戴硕电子科技有限公司移动应用开发,彭,桂荣,天天快递,Order
83,2025-08-29 01:20:44,2025-09-12 01:20:44,2025-08-30 01:20:44,238.67,天开传媒有限公司网络安全,香港特别行政区澳门市清浦许路G座 380354,芳市,云南省,252621,中国,天开传媒有限公司网络安全,李,玉珍,圆通速递,Order
84,2025-01-10 11:16:37,2025-01-24 11:16:37,2025-01-13 11:16:37,189.16,中建创业信息有限公司虚拟现实,黑龙江省天津县清浦贵阳路S座 666651,冬梅县,内蒙古自治区,866120,中国,中建创业信息有限公司虚拟现实,陈,杨,天天快递,Order
85,2024-07-15 04:35:21,2024-07-19 04:35:21,2024-07-17 04:35:21,36.26,新宇龙信息传媒有限公司人工智能,澳门特别行政区合山县门头沟赵路X座 921614,张家港市,香港特别行政区,309847,中国,新宇龙信息传媒有限公司人工智能,曹,洁,韵达快递,Order
86,2025-10-05 21:37:32,2025-10-14 21:37:32,2025-10-09 21:37:32,477.59,浦华众城网络有限公司信息技术,台湾省倩县涪城陈街U座 719485,浩市,四川省,990712,中国,浦华众城网络有限公司信息技术,彭,桂荣,天天快递,Order
87,2025-02-26 19:48:46,2025-03-10 19:48:46,2025-03-03 19:48:46,199.52,易动力信息有限公司物联网,辽宁省嘉禾县沈河六安街A座 771273,佛山县,贵州省,255410,中国,易动力信息有限公司物联网,薛,洋,百世快递,Order
88,2024-12-08 22:22:38,2024-12-18 22:22:38,2024-12-10 22:22:38,164.29,MBP软件网络有限公司移动应用开发,青海省颖县山亭西安路G座 992594,辛集市,重庆市,516137,中国,MBP软件网络有限公司移动应用开发,张,丹丹,顺丰速运,Order
89,2024-07-30 05:27:41,2024-08-12 05:27:41,2024-07-31 05:27:41,32.26,开发区世创科技有限公司科技公司,浙江省香港县翔安潮州街E座 459811,嘉禾市,黑龙江省,948902,中国,开发区世创科技有限公司科技公司,林,峰,申通快递,Order
90,2025-12-01 00:25:48,2025-12-12 00:25:48,,184.8,时空盒数字信息有限公司虚拟现实,湖南省杭州市清河柳州路s座 365953,荣市,海南省,934862,中国,时空盒数字信息有限公司虚拟现实,薛,洋,韵达快递,Order
91,2024-10-07 19:56:09,2024-10-11 19:56:09,,63.19,易动力传媒有限公司生物科技,河南省贵阳县兴山广州路A座 729306,伟市,陕西省,802027,中国,易动力传媒有限公司生物科技,欧,娜,百世快递,Order
92,2025-02-16 12:54:38,2025-02-26 12:54:38,2025-02-21 12:54:38,416.71,新宇龙信息传媒有限公司人工智能,澳门特别行政区合山县门头沟赵路X座 921614,张家港市,香港特别行政区,309847,中国,新宇龙信息传媒有限公司人工智能,林,磊,京东物流,Order
93,2025-10-31 04:17:09,2025-11-11 04:17:09,2025-11-05 04:17:09,218.66,易动力科技有限公司科技公司,北京市佛山县合川香港街U座 292593,沈阳县,广西壮族自治区,104016,中国,易动力科技有限公司科技公司,张,刚,德邦物流,Order
94,2025-02-10 15:46:15,2025-02-14 15:46:15,2025-02-11 15:46:15,27.8,易动力信息有限公司物联网,辽宁省嘉禾县沈河六安街A座 771273,佛山县,贵州省,255410,中国,易动力信息有限公司物联网,赵,晨,百世快递,Order
95,2025-08-21 14:08:03,2025-09-02 14:08:03,,427.41,银嘉科技有限公司科技公司,山东省深圳县孝南黄街c座 290750,秀荣市,宁夏回族自治区,662554,中国,银嘉科技有限公司科技公司,张,刚,圆通速递,Order
96,2025-02-12 02:47:14,2025-02-17 02:47:14,2025-02-16 02:47:14,335.79,银嘉科技有限公司云计算,北京市强县牧野惠州路G座 671226,重庆县,云南省,471017,中国,银嘉科技有限公司云计算,欧,娜,顺丰速运,Order
97,2026-04-23 02:29:39,2026-04-28 02:29:39,2026-04-25 02:29:39,227.78,兰金电子传媒有限公司生物科技,广西壮族自治区香港县六枝特郭路r座 722655,桂香县,广西壮族自治区,205167,中国,兰金电子传媒有限公司生物科技,田,桂荣,中通快递,Order
98,2025-11-04 02:32:04,2025-11-11 02:32:04,,74.41,巨奥网络有限公司金融科技,陕西省慧市锡山王街R座 594310,明市,天津市,692056,中国,巨奥网络有限公司金融科技,曲,桂花,天天快递,Order
99,2024-09-27 10:21:51,2024-10-04 10:21:51,2024-10-02 10:21:51,37.2,天开传媒有限公司网络安全,香港特别行政区澳门市清浦许路G座 380354,芳市,云南省,252621,中国,天开传媒有限公司网络安全,田,桂荣,百世快递,Order
100,2026-03-18 01:31:16,2026-03-30 01:31:16,2026-03-23 01:31:16,329.52,时刻网络有限公司信息技术,辽宁省长春县高港大冶街E座 299146,梅县,山西省,257161,中国,时刻网络有限公司信息技术,曹,洁,圆通速递,Order
101,2024-11-23 20:57:29,2024-11-29 20:57:29,2024-11-25 20:57:29,246.57,时刻网络有限公司信息技术,辽宁省长春县高港大冶街E座 299146,梅县,山西省,257161,中国,时刻网络有限公司信息技术,张,帅,德邦物流,Order
102,2026-05-08 23:46:32,2026-05-13 23:46:32,2026-05-13 23:46:32,469.22,毕博诚科技有限公司互联网服务,安徽省大冶县牧野汪路E座 856404,俊市,宁夏回族自治区,628200,中国,毕博诚科技有限公司互联网服务,林,磊,顺丰速运,Order
103,2026-03-19 12:56:48,2026-03-28 12:56:48,2026-03-22 12:56:48,181.62,南康网络有限公司互联网服务,天津市潜江县沈河太原路A座 620715,敏市,福建省,403615,中国,南康网络有限公司互联网服务,王,倩,韵达快递,Order
104,2024-08-23 23:13:22,2024-09-03 23:13:22,2024-08-28 23:13:22,477.57,富罳科技有限公司生物科技,青海省贵阳市友好范街A座 611700,想县,甘肃省,415348,中国,富罳科技有限公司生物科技,王,雪,韵达快递,Order
105,2024-07-29 06:08:08,2024-08-12 06:08:08,2024-07-31 06:08:08,184.34,易动力信息有限公司物联网,陕西省关岭县高坪淮安街k座 604446,齐齐哈尔市,贵州省,989116,中国,易动力信息有限公司物联网,林,磊,顺丰速运,Order
106,2025-12-04 16:32:05,2025-12-18 16:32:05,2025-12-06 16:32:05,333.94,银嘉信息有限公司移动应用开发,河南省洋县门头沟张家港路q座 708953,荆门市,江西省,960045,中国,银嘉信息有限公司移动应用开发,李,玉珍,顺丰速运,Order
107,2024-12-12 06:39:15,2024-12-22 06:39:15,,407.11,时空盒数字信息有限公司智能科技,山东省巢湖县清浦缪街U座 742478,郑州县,陕西省,364545,中国,时空盒数字信息有限公司智能科技,欧,娜,圆通速递,Order
108,2026-06-02 00:52:06,2026-06-07 00:52:06,2026-06-04 00:52:06,23.6,晖来计算机传媒有限公司云计算,广东省娟市孝南辽阳路I座 278094,郑州县,江苏省,370443,中国,晖来计算机传媒有限公司云计算,林,磊,百世快递,Order
109,2025-09-27 09:45:07,2025-10-02 09:45:07,2025-09-30 09:45:07,327.2,图龙信息传媒有限公司数字科技,天津市梧州市安次彭路t座 336734,南昌市,江西省,117022,中国,图龙信息传媒有限公司数字科技,薛,洋,顺丰速运,Order
